suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,fairness_jain,fairness_maxmin,fairness_cv,cpu_migrations,ctx_switches,notes
throughput,throughput_saturation,mutex,1,0,0,13469233.00,29.92,0.00,31.00,31.00,15.57,52.03,67346165,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,0,1,13411198.00,32.95,0.00,31.00,31.00,644.39,1955.90,67055990,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,0,2,13442234.00,29.94,0.00,31.00,31.00,7.21,24.09,67211170,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,0,3,13500757.20,29.86,0.00,31.00,31.00,10.75,36.00,67503786,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,0,4,13492209.00,29.78,0.00,31.00,31.00,4.70,15.77,67461045,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,0,5,13452226.60,29.90,0.00,31.00,31.00,8.66,28.95,67261133,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,0,6,13401188.00,30.40,0.00,31.00,31.00,58.68,193.02,67005940,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,0,7,13455819.00,29.97,0.00,31.00,31.00,13.13,43.80,67279095,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,0,0,9597711.40,153.91,0.00,350.00,471.00,135.23,87.87,47988557,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,0,1,9824303.20,147.52,0.00,321.00,430.00,116.27,78.81,49121516,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,0,2,9515406.00,154.06,0.00,321.00,421.00,112.25,72.86,47577030,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,0,3,9574291.00,152.48,0.00,321.00,431.00,144.66,94.87,47871455,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,0,4,9672808.60,151.30,0.00,321.00,421.00,120.68,79.76,48364043,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,0,5,9713935.60,150.25,0.00,321.00,431.00,120.20,80.00,48569678,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,0,6,9726171.00,149.81,0.00,321.00,431.00,131.86,88.02,48630855,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,0,7,9676143.80,150.63,0.00,331.00,431.00,144.24,95.76,48380719,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,0,0,8977653.60,286.03,0.00,902.00,2114.00,431.91,151.00,44888268,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,0,1,8973789.20,286.12,0.00,902.00,2144.00,551.67,192.81,44868946,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,0,2,8975214.40,284.96,0.00,892.00,2114.00,455.73,159.93,44876072,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,0,3,8944406.20,287.75,0.00,902.00,2184.00,600.99,208.86,44722031,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,0,4,8977482.00,284.94,0.00,901.00,2144.00,431.10,151.29,44887410,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,0,5,8957088.40,286.98,0.00,892.00,2155.00,677.17,235.96,44785442,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,0,6,8922453.60,288.79,0.00,912.00,2224.00,550.27,190.54,44612268,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,0,7,8977177.00,284.67,0.00,901.00,2124.00,608.57,213.78,44885885,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,0,0,7711128.20,465.56,0.00,1794.00,3666.00,798.14,171.43,38555641,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,0,1,7717862.60,458.73,0.00,1764.00,3537.00,726.17,158.30,38589313,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,0,2,7659349.20,462.94,0.00,1784.00,3577.00,818.99,176.91,38296746,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,0,3,7719807.40,465.67,0.00,1794.00,3537.00,2125.16,456.37,38599037,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,0,4,7706308.80,459.54,0.00,1774.00,3536.00,907.80,197.55,38531544,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,0,5,7683235.20,467.38,0.00,1844.00,3547.00,867.80,185.67,38416176,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,0,6,7683657.60,466.60,0.00,1824.00,3547.00,935.51,200.50,38418288,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,0,7,7665113.80,464.76,0.00,1814.00,3557.00,807.68,173.78,38325569,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,0,0,5544557.20,1388.80,0.00,4899.00,7985.00,3164.89,227.89,27722786,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,0,1,5530181.80,1394.37,0.00,4919.00,8085.00,5289.31,379.33,27650909,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,0,2,5722430.80,1346.07,0.00,4769.50,7754.00,1777.52,132.05,28612154,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,0,3,5764107.00,1332.74,0.00,4719.00,7705.00,1654.80,124.17,28820535,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,0,4,5765200.20,1335.84,0.00,4739.00,7704.00,1656.22,123.98,28826001,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,0,5,5773434.00,1325.60,0.00,4699.00,7625.00,1798.85,135.70,28867170,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,0,6,5771081.20,1330.50,0.00,4709.00,7675.00,1653.91,124.31,28855406,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,0,7,5767864.40,1330.45,0.00,4709.00,7705.00,1652.25,124.19,28839322,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,0,0,5742846.20,2966.14,0.00,11742.00,30908.01,6155.35,207.52,28714231,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,0,1,5724722.60,2979.09,0.00,11652.00,31269.00,9244.97,310.33,28623613,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,0,2,5735068.00,2979.49,0.00,11812.00,31069.00,6471.07,217.19,28675340,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,0,3,5727704.40,2982.71,0.00,11772.00,31168.01,6257.45,209.79,28638522,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,0,4,5724713.80,2975.71,0.00,11712.00,30968.00,7655.74,257.27,28623569,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,0,5,5736999.00,2972.78,0.00,11812.00,31099.00,6147.58,206.80,28684995,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,0,6,5741605.00,2979.14,0.00,11883.45,30979.00,6193.04,207.88,28708025,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,0,7,5716880.80,2964.96,0.00,11702.00,30958.00,6893.26,232.49,28584404,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,500,0,2074774.40,444.54,0.00,440.00,450.00,1261.38,283.75,10373872,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,500,1,2076058.40,436.43,0.00,440.00,461.00,650.30,149.00,10380292,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,500,2,2093914.80,432.17,0.00,431.00,441.00,31.21,7.22,10469574,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,500,3,2092742.80,432.62,0.00,431.00,451.00,75.95,17.56,10463714,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,500,4,2095526.60,432.13,0.00,431.00,441.00,70.93,16.41,10477633,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,500,5,2094709.20,432.00,0.00,431.00,441.00,29.34,6.79,10473546,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,500,6,2090243.40,432.69,0.00,431.00,441.00,52.18,12.06,10451217,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,1,500,7,2094240.60,432.09,0.00,431.00,441.00,51.48,11.92,10471203,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,500,0,1242432.80,1563.27,0.00,5410.00,10560.00,6441.55,412.06,6212164,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,500,1,1310053.60,1523.24,0.00,5451.00,9758.00,2352.84,154.46,6550268,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,500,2,1304090.80,1518.06,0.00,5450.00,10840.00,2503.37,164.91,6520454,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,500,3,1309369.20,1513.80,0.00,5420.00,10290.09,2553.36,168.67,6546846,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,500,4,1312486.60,1504.28,0.00,5410.00,10369.01,2411.51,160.31,6562433,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,500,5,1315274.00,1510.80,0.00,5431.00,9868.10,2326.22,153.97,6576370,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,500,6,1316578.80,1532.70,0.00,5460.00,9829.00,2287.86,149.27,6582894,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,2,500,7,1318075.00,1519.63,0.00,5420.00,9768.01,2270.21,149.39,6590375,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,500,0,1403548.60,2226.48,0.00,7363.00,19897.11,5607.21,251.84,7017743,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,500,1,1405222.80,2204.69,0.00,7404.00,20188.00,4586.65,208.04,7026114,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,500,2,1405017.60,2179.37,0.00,7413.00,20859.00,4224.47,193.84,7025088,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,500,3,1357761.60,2235.25,0.00,7594.05,18014.10,3946.97,176.58,6788808,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,500,4,1372692.20,2235.11,0.00,7574.00,18585.10,7836.20,350.60,6863461,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,500,5,1390009.00,2197.98,0.00,7484.00,18966.20,4263.95,193.99,6950045,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,500,6,1392381.80,2205.66,0.00,7464.00,19246.10,4730.72,214.48,6961909,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,3,500,7,1395937.80,2205.31,0.00,7625.00,19767.10,4494.16,203.79,6979689,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,500,0,1353748.80,3070.06,0.00,12784.05,24146.00,4947.69,161.16,6768744,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,500,1,1351024.20,3121.50,0.00,12814.00,23474.00,4854.86,155.53,6755121,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,500,2,1347799.80,3138.95,0.00,12814.00,23494.00,4785.19,152.45,6738999,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,500,3,1343041.00,3145.71,0.00,12814.00,23294.10,4975.76,158.18,6715205,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,500,4,1344044.80,3107.74,0.00,12673.00,23785.00,5147.00,165.62,6720224,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,500,5,1335008.40,3101.00,0.00,12544.00,23495.09,4938.01,159.24,6675042,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,500,6,1334179.00,3133.80,0.00,12544.00,23574.00,8539.05,272.48,6670895,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,4,500,7,1351598.40,3094.76,0.00,12764.00,24005.00,4864.94,157.20,6757992,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,500,0,1225814.00,6650.10,0.00,26570.45,45886.00,11441.38,172.05,6129070,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,500,1,1227015.00,6682.23,0.00,27011.00,46698.10,10982.15,164.35,6135075,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,500,2,1227485.40,6660.44,0.00,26680.00,46247.00,10031.49,150.61,6137427,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,500,3,1223621.60,6685.85,0.00,26731.00,45796.00,10090.01,150.92,6118108,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,500,4,1225777.20,6666.31,0.00,26970.00,46667.01,10364.19,155.47,6128886,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,500,5,1219790.80,6682.12,0.00,26510.00,45526.00,10013.51,149.86,6098954,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,500,6,1217369.40,6670.60,0.00,26680.00,46237.00,11494.97,172.32,6086847,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,8,500,7,1225132.80,6662.35,0.00,26940.00,47209.09,10202.89,153.14,6125664,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,500,0,886621.40,59779.82,0.00,90069.00,3289610.00,419532.13,701.80,4433107,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,500,1,874321.80,61736.73,0.00,87334.50,3354961.00,429415.99,695.56,4371609,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,500,2,819232.80,45321.89,0.00,88266.45,582502.41,331261.31,730.91,4096164,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,500,3,899880.60,60159.24,0.00,87807.00,3304239.16,422449.16,702.22,4499403,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,500,4,853270.80,58165.76,0.00,90770.00,3239408.90,406581.37,699.00,4266354,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,500,5,863600.60,60028.23,0.00,90610.00,3300724.40,416087.07,693.15,4318003,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,500,6,863441.80,61137.54,0.00,86473.00,3321966.60,423993.89,693.51,4317209,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,mutex,16,500,7,865002.20,60597.00,0.00,90661.00,3297055.60,420829.91,694.47,4325011,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,1,0,0,13976373.20,27.43,0.00,30.00,31.00,10.78,39.30,69881866,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,1,0,1,14021157.00,27.31,0.00,30.00,31.00,6.12,22.42,70105785,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,1,0,2,14015394.40,27.37,0.00,30.00,31.00,14.12,51.59,70076972,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,1,0,3,14038063.00,27.22,0.00,30.00,31.00,4.93,18.11,70190315,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,1,0,4,14038239.80,27.28,0.00,30.00,31.00,7.68,28.14,70191199,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,1,0,5,14035778.40,27.30,0.00,30.00,31.00,10.28,37.67,70178892,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,1,0,6,13882738.80,27.49,0.00,30.00,31.00,8.30,30.20,69413694,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,1,0,7,13883296.00,27.53,0.00,30.00,31.00,11.55,41.95,69416480,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,2,0,0,12239765.80,106.61,0.00,190.00,240.00,58.15,54.54,61198829,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,2,0,1,13121566.20,96.22,0.00,171.00,200.00,50.70,52.69,65607831,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,2,0,2,12707285.80,101.59,0.00,180.00,200.00,52.94,52.11,63536429,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,2,0,3,12558576.60,102.80,0.00,180.00,201.00,53.86,52.40,62792883,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,2,0,4,12485139.60,103.21,0.00,180.00,211.00,63.82,61.84,62425698,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,2,0,5,12544784.00,102.30,0.00,171.00,201.00,54.93,53.70,62723920,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,2,0,6,12336679.60,104.35,0.00,180.00,211.00,56.83,54.46,61683398,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,2,0,7,12612175.40,102.51,0.00,180.00,201.00,51.97,50.70,63060877,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,3,0,0,10352746.20,228.17,0.00,441.00,581.00,105.10,46.06,51763731,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,3,0,1,10335467.40,227.92,0.00,441.00,592.00,109.38,47.99,51677337,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,3,0,2,10305638.20,228.93,0.00,441.00,591.00,131.73,57.54,51528191,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,3,0,3,10322998.40,229.27,0.00,441.00,601.00,361.58,157.71,51614992,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,3,0,4,10283258.80,229.80,0.00,441.00,591.00,131.21,57.10,51416294,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,3,0,5,10394855.40,226.62,0.00,440.00,571.00,339.01,149.59,51974277,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,3,0,6,10246962.20,232.33,0.00,451.00,601.00,339.63,146.18,51234811,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,3,0,7,10318075.80,228.94,0.00,450.00,611.00,110.37,48.21,51590379,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,4,0,0,7925014.60,439.87,0.00,882.00,1252.00,239.48,54.44,39625073,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,4,0,1,7937341.20,439.55,0.00,882.00,1232.00,373.91,85.07,39686706,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,4,0,2,7944582.80,438.79,0.00,882.00,1242.00,237.33,54.09,39722914,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,4,0,3,7923665.60,439.40,0.00,872.00,1232.00,237.99,54.16,39618328,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,4,0,4,7935390.40,440.56,0.00,881.00,1242.00,396.86,90.08,39676952,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,4,0,5,7913618.60,441.82,0.00,882.00,1252.00,237.86,53.84,39568093,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,4,0,6,7858673.60,443.72,0.00,892.00,1252.00,253.18,57.06,39293368,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,spinlock,4,0,7,7904355.60,442.32,0.00,892.00,1262.00,416.12,94.08,39521778,0.00,0.00,0.00,0.00,0.00,-1,-1,""
